name,price,rating,image_path
Sapiens: A Brief History of Humankind,54.23,5,data/raw/raw_images\Sapiens A Brief History of Humankind.jpg
Set Me Free,17.46,5,data/raw/raw_images\Set Me Free.jpg
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,data/raw/raw_images\Scott Pilgrim's Precious Little Life (Scott Pilgrim #1).jpg
Rip it Up and Start Again,35.02,5,data/raw/raw_images\Rip it Up and Start Again.jpg
Chase Me (Paris Nights #2),25.27,5,data/raw/raw_images\Chase Me (Paris Nights #2).jpg
Black Dust,34.53,5,data/raw/raw_images\Black Dust.jpg
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.3,5,data/raw/raw_images\Worlds Elsewhere Journeys Around Shakespeareâs Globe.jpg
The Four Agreements: A Practical Guide to Personal Freedom,17.66,5,data/raw/raw_images\The Four Agreements A Practical Guide to Personal Freedom.jpg
The Elephant Tree,23.82,5,data/raw/raw_images\The Elephant Tree.jpg
Sophie's World,15.94,5,data/raw/raw_images\Sophie's World.jpg
Private Paris (Private #10),47.61,5,data/raw/raw_images\Private Paris (Private #10).jpg
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,5,data/raw/raw_images\#HigherSelfie Wake Up Your Life. Free Your Soul. Find Your Tribe..jpg
"We Love You, Charlie Freeman",50.27,5,"data/raw/raw_images\We Love You, Charlie Freeman.jpg"
Thirst,17.27,5,data/raw/raw_images\Thirst.jpg
