order_id,customer_id,product_id,amount,payment_method,order_status,timestamp
7038,CUST485,PRD42,944.43,CreditCard,Pending,05-17-2026 02:08 AM
9102,,PRD23,655.38,Cash,Delivered,05-17-2026 02:08 AM
3607,CUST685,PRD26,998.89,PayPal,Cancelled,2026-05-17 02:08:35
4353,CUST490,PRD24,57.06,PayPal,Cancelled,2026-05-17 02:08:35
4280,CUST106,PRD14,14.6,PayPal,Cancelled,17/05/2026 02:08
9129,CUST611,PRD44,865.91,%%%%CORRUPTED%%%%,Delivered,2026-05-17 02:08:35
7907,CUST373,PRD92,105.26,CreditCard,Delivered,2026-05-17 02:08:35
1549,CUST521,PRD75,676.04,ApplePay,Returned,2026-05-17 02:08:35
8167,CUST279,PRD17,563.86,PayPal,Cancelled,17/05/2026 02:08
2291,CUST546,PRD27,384.23,ApplePay,Returned,05-17-2026 02:08 AM
1001,CUST101,PRD10,250,Cash,Delivered,17/05/2026 02:08
5202,CUST709,PRD24,505.86,ApplePay,Pending,05-17-2026 02:08 AM
1639,CUST606,PRD92,435.49,Cash,Cancelled,2026-05-17 02:08:35
8710,CUST857,PRD36,724.68,ApplePay,Cancelled,2026-05-17 02:08:35
5677,CUST446,PRD48,864.93,CreditCard,Delivered,2026-05-17 02:08:35
2072,CUST166,PRD11,910.9,Cash,Returned,2026-05-17 02:08:35
7195,CUST973,PRD89,922.29,PayPal,Pending,05-17-2026 02:08 AM
8647,CUST701,PRD15,867.51,PayPal,Pending,99-99-9999
8531,CUST951,PRD23,240.18,CreditCard,Delivered,2026-05-17 02:08:35
9473,CUST472,PRD94,866.91,ApplePay,Returned,2026-05-17 02:08:35
