order_id,customer_id,product_id,amount,payment_method,order_status,timestamp
7867,CUST635,PRD46,544.53,ApplePay,Returned,17/05/2026 02:08
7771,CUST532,PRD73,451.77,CreditCard,Cancelled,2026-05-17 02:08:40
9829,CUST339,PRD33,237.19,Cash,Delivered,17/05/2026 02:08
2937,CUST382,PRD47,533.77,CreditCard,Pending,05-17-2026 02:08 AM
9913,CUST693,PRD96,358.68,ApplePay,Pending,05-17-2026 02:08 AM
7808,%%%%CORRUPTED%%%%,PRD86,173.8,Cash,Delivered,17/05/2026 02:08
9396,CUST161,PRD41,37.71,CreditCard,Pending,17/05/2026 02:08
8753,CUST690,PRD41,59.84,CreditCard,Delivered,17/05/2026 02:08
5955,CUST160,PRD34,623.53,ApplePay,Returned,17/05/2026 02:08
2733,CUST430,PRD43,253.38,Cash,Pending,05-17-2026 02:08 AM
4853,CUST886,PRD35,766.62,CreditCard,Delivered,05-17-2026 02:08 AM
9273,CUST691,PRD74,INVALID,CreditCard,Delivered,05-17-2026 02:08 AM
1001,CUST101,PRD10,250,Cash,Delivered,05-17-2026 02:08 AM
1190,CUST385,PRD33,816.7,PayPal,Pending,17/05/2026 02:08
1335,CUST123,PRD15,44.9,Cash,Cancelled,17/05/2026 02:08
6042,CUST401,PRD57,375.36,PayPal,Returned,17/05/2026 02:08
8088,CUST707,PRD68,852.02,PayPal,Delivered,05-17-2026 02:08 AM
5286,CUST293,PRD99,212.93,CreditCard,Cancelled,17/05/2026 02:08
5278,CUST732,PRD80,152.88,CreditCard,Delivered,2026-05-17 02:08:40
8615,CUST916,PRD33,558.72,CreditCard,Cancelled,2026-05-17 02:08:40
