order_id,customer_id,product_id,amount,payment_method,order_status,timestamp
1753,CUST460,PRD89,578.3,Cash,Delivered,2026-05-17 02:08:55
7129,CUST331,PRD27,138.6,Cash,Returned,17/05/2026 02:08
2376,CUST829,PRD43,644.8,ApplePay,Cancelled,2026-05-17 02:08:55
5735,CUST157,PRD57,909.27,Cash,Delivered,17/05/2026 02:08
1984,CUST130,PRD91,492.77,PayPal,Pending,05-17-2026 02:08 AM
2744,CUST545,PRD25,309.77,PayPal,Delivered,05-17-2026 02:08 AM
2563,CUST784,PRD40,828.69,Cash,Delivered,17/05/2026 02:08
1176,CUST730,PRD28,70.02,PayPal,Cancelled,2026-05-17 02:08:55
2889,CUST955,PRD70,574.5,PayPal,Returned,05-17-2026 02:08 AM
1558,CUST148,PRD73,250.22,Cash,Delivered,2026-05-17 02:08:55
7398,CUST399,PRD72,INVALID,CreditCard,Delivered,05-17-2026 02:08 AM
8144,CUST630,PRD89,488.47,Cash,Pending,2026-05-17 02:08:55
1023,CUST588,PRD93,745.99,Cash,Returned,17/05/2026 02:08
2426,CUST115,PRD56,770.35,Cash,Delivered,2026-05-17 02:08:55
3706,CUST289,PRD66,903.58,Cash,Cancelled,05-17-2026 02:08 AM
7098,CUST877,PRD25,978.31,ApplePay,Pending,17/05/2026 02:08
3174,CUST587,PRD68,829.1,PayPal,Cancelled,17/05/2026 02:08
4348,CUST314,PRD79,264.57,CreditCard,Cancelled,2026-05-17 02:08:55
4340,CUST931,PRD72,904.48,PayPal,Pending,17/05/2026 02:08
1488,CUST952,PRD80,551.59,Cash,Cancelled,17/05/2026 02:08
