order_id,customer_id,product_id,amount,payment_method,order_status,timestamp
5082,CUST164,PRD56,247.42,ApplePay,Delivered,05-17-2026 02:08 AM
1453,CUST918,PRD30,706.58,PayPal,Delivered,05-17-2026 02:08 AM
1832,CUST811,PRD54,INVALID,CreditCard,Delivered,2026-05-17 02:08:50
4359,CUST867,PRD71,865.36,Cash,Cancelled,2026-05-17 02:08:50
4046,CUST401,PRD69,502.99,CreditCard,Returned,2026-05-17 02:08:50
8080,CUST516,PRD39,143.37,CreditCard,Returned,05-17-2026 02:08 AM
6830,CUST581,PRD50,437.72,CreditCard,Cancelled,2026-05-17 02:08:50
6373,CUST406,PRD19,654.65,ApplePay,Delivered,05-17-2026 02:08 AM
6356,,PRD23,336.04,Cash,Delivered,2026-05-17 02:08:50
3838,CUST910,PRD44,903.46,Cash,Returned,2026-05-17 02:08:50
8477,CUST730,PRD66,458.46,PayPal,Delivered,05-17-2026 02:08 AM
1309,CUST328,PRD25,817.31,PayPal,Returned,05-17-2026 02:08 AM
3296,CUST729,PRD70,872.47,PayPal,Pending,99-99-9999
7202,CUST802,PRD80,227.62,Cash,Returned,2026-05-17 02:08:50
1809,CUST854,PRD46,926.63,CreditCard,Delivered,05-17-2026 02:08 AM
8394,CUST760,PRD12,117.96,PayPal,Pending,2026-05-17 02:08:50
7577,CUST831,PRD73,740.52,ApplePay,Returned,17/05/2026 02:08
5366,CUST100,PRD87,883.0,%%%%CORRUPTED%%%%,Delivered,17/05/2026 02:08
8012,CUST594,PRD36,12.64,PayPal,Pending,05-17-2026 02:08 AM
6920,CUST567,PRD92,355.28,CreditCard,Delivered,17/05/2026 02:08
