order_id,customer_id,product_id,amount,payment_method,order_status,timestamp
4007,CUST540,PRD40,897.22,CreditCard,Delivered,17/05/2026 02:09
3327,CUST391,PRD13,228.56,PayPal,Delivered,05-17-2026 02:09 AM
2380,CUST333,PRD95,476.24,Cash,Returned,05-17-2026 02:09 AM
1896,CUST450,PRD64,851.66,CreditCard,Delivered,17/05/2026 02:09
2223,CUST139,PRD45,696.64,ApplePay,Cancelled,17/05/2026 02:09
6012,CUST350,PRD14,540.66,CreditCard,Pending,05-17-2026 02:09 AM
2528,CUST443,PRD97,700.4,Cash,Delivered,05-17-2026 02:09 AM
7634,CUST596,PRD42,810.05,CreditCard,Delivered,2026-05-17 02:09:00
1687,CUST943,PRD13,54.87,PayPal,Pending,99-99-9999
5147,CUST193,PRD57,234.87,PayPal,Pending,99-99-9999
1169,CUST671,PRD61,503.5,PayPal,Delivered,05-17-2026 02:09 AM
1001,CUST101,PRD10,250,Cash,Delivered,17/05/2026 02:09
4822,CUST282,PRD82,829.39,CreditCard,Returned,2026-05-17 02:09:00
1001,CUST101,PRD10,250,Cash,Delivered,17/05/2026 02:09
3769,CUST257,PRD49,40.38,ApplePay,Delivered,17/05/2026 02:09
1940,CUST653,PRD74,799.11,ApplePay,Delivered,05-17-2026 02:09 AM
1001,CUST101,PRD10,250,Cash,Delivered,2026-05-17 02:09:00
4171,CUST240,PRD70,168.7,%%%%CORRUPTED%%%%,Delivered,05-17-2026 02:09 AM
5295,CUST646,PRD26,570.96,Cash,Returned,05-17-2026 02:09 AM
9648,CUST387,PRD28,213.76,Cash,Delivered,2026-05-17 02:09:00
