order_id,customer_id,product_id,amount,payment_method,order_status,timestamp
1001,CUST101,PRD10,250,Cash,Delivered,05-17-2026 02:09 AM
6043,CUST924,PRD93,845.08,Cash,Delivered,2026-05-17 02:09:05
5169,CUST836,PRD63,124.47,Cash,Delivered,2026-05-17 02:09:05
2665,CUST566,PRD93,338.21,ApplePay,Cancelled,2026-05-17 02:09:05
2646,CUST886,PRD83,672.76,Cash,Cancelled,17/05/2026 02:09
1241,CUST625,PRD25,916.31,CreditCard,Returned,17/05/2026 02:09
4266,CUST225,PRD36,995.91,ApplePay,Cancelled,2026-05-17 02:09:05
2964,CUST442,PRD59,985.58,PayPal,Delivered,05-17-2026 02:09 AM
2763,CUST754,PRD41,192.64,PayPal,Delivered,2026-05-17 02:09:05
9805,CUST834,PRD89,306.99,CreditCard,Delivered,17/05/2026 02:09
7606,CUST454,PRD71,869.54,ApplePay,Pending,05-17-2026 02:09 AM
4924,CUST920,PRD53,INVALID,CreditCard,Delivered,2026-05-17 02:09:05
7315,CUST666,PRD72,626.81,PayPal,Cancelled,17/05/2026 02:09
4293,CUST750,PRD25,866.17,ApplePay,Delivered,17/05/2026 02:09
3831,,PRD85,130.15,Cash,Delivered,2026-05-17 02:09:05
2928,CUST701,PRD67,832.38,Cash,Delivered,2026-05-17 02:09:05
4711,CUST769,PRD18,553.62,ApplePay,Cancelled,2026-05-17 02:09:05
8919,CUST157,PRD77,128.12,ApplePay,Returned,17/05/2026 02:09
7609,CUST712,PRD95,991.94,ApplePay,Delivered,2026-05-17 02:09:05
4303,CUST480,PRD29,367.41,CreditCard,Delivered,05-17-2026 02:09 AM
