order_id,customer_id,product_id,amount,payment_method,order_status,timestamp
9049,CUST671,PRD54,162.69,ApplePay,Cancelled,05-17-2026 02:08 AM
3847,,PRD74,780.71,Cash,Delivered,05-17-2026 02:08 AM
8804,CUST343,PRD78,452.71,PayPal,Delivered,17/05/2026 02:08
9143,CUST899,PRD80,INVALID,CreditCard,Delivered,2026-05-17 02:08:45
7431,CUST134,PRD28,481.19,PayPal,Pending,99-99-9999
4039,CUST620,PRD59,366.48,Cash,Returned,05-17-2026 02:08 AM
5079,CUST782,PRD47,682.72,ApplePay,Delivered,2026-05-17 02:08:45
5782,CUST364,PRD16,963.12,Cash,Delivered,17/05/2026 02:08
7186,CUST726,PRD99,440.36,%%%%CORRUPTED%%%%,Delivered,17/05/2026 02:08
7776,CUST147,PRD45,431.18,CreditCard,Returned,05-17-2026 02:08 AM
4441,CUST579,PRD77,130.45,ApplePay,Cancelled,05-17-2026 02:08 AM
6821,CUST955,PRD13,217.66,ApplePay,Returned,2026-05-17 02:08:45
7006,CUST643,PRD59,495.68,Cash,Pending,17/05/2026 02:08
1001,CUST101,PRD10,250,Cash,Delivered,17/05/2026 02:08
5952,CUST540,PRD24,623.93,Cash,Cancelled,05-17-2026 02:08 AM
3946,CUST450,PRD28,818.69,Cash,Pending,2026-05-17 02:08:45
2477,CUST361,PRD21,216.86,PayPal,Pending,2026-05-17 02:08:45
3484,CUST742,PRD70,926.18,ApplePay,Pending,05-17-2026 02:08 AM
5633,CUST608,PRD46,224.86,CreditCard,Cancelled,2026-05-17 02:08:45
2377,CUST919,PRD39,353.09,CreditCard,Returned,2026-05-17 02:08:45
