name,price,rating,image_path
Tipping the Velvet,53.74,1,data/raw/raw_images\Tipping the Velvet.jpg
Soumission,50.1,1,data/raw/raw_images\Soumission.jpg
The Requiem Red,22.65,1,data/raw/raw_images\The Requiem Red.jpg
The Black Maria,52.15,1,data/raw/raw_images\The Black Maria.jpg
Olio,23.88,1,data/raw/raw_images\Olio.jpg
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1,data/raw/raw_images\Mesaerion The Best Science Fiction Stories 1800-1849.jpg
In Her Wake,12.84,1,data/raw/raw_images\In Her Wake.jpg
The Bear and the Piano,36.89,1,data/raw/raw_images\The Bear and the Piano.jpg
"In a Dark, Dark Wood",19.63,1,"data/raw/raw_images\In a Dark, Dark Wood.jpg"
When We Collided,31.77,1,data/raw/raw_images\When We Collided.jpg
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,1,"data/raw/raw_images\Unbound How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink.jpg"
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,1,data/raw/raw_images\Tsubasa WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2).jpg
The Torch Is Passed: A Harding Family Story,19.09,1,data/raw/raw_images\The Torch Is Passed A Harding Family Story.jpg
The Secret of Dreadwillow Carse,56.13,1,data/raw/raw_images\The Secret of Dreadwillow Carse.jpg
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,1,"data/raw/raw_images\The Pioneer Woman Cooks Dinnertime Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!.jpg"
